Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
coligo-acc-summatel2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.138,125,vw437,,172.18.31.138/22,,Coligo GRID acceptance summatel,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:16.862520Z,2025-07-22T10:20:17.276937Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-sync1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.135,121,vw436,,172.18.31.135/22,,Coligo GRID acceptance sync,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:13.146493Z,2025-07-22T10:20:13.549220Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-sync2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.143,126,vw437,,172.18.31.143/22,,Coligo GRID acceptance sync,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:17.879796Z,2025-07-22T10:20:18.301724Z,Ubuntu 20.04 LTS,0,,No,Acceptance,,,Voiceworks
coligo-acc-uat-poc1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.29,534,vw436,,172.18.31.29/22,,Grid UAT,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:40.719125Z,2025-07-22T10:23:41.132142Z,Debian 10.0 (buster),0,,,Acceptance,,,Voiceworks
coligo-acc-wombat1,Active,,Unknown,Container,Systems Infrastructure,,,,,240,,,,,PHASED OUT,,,,,,2025-07-22T10:22:09.499234Z,2025-07-22T10:22:09.499249Z,,0,,,,,,
coligo-acc2-blf1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.28.241,702,vw436,,172.18.28.241/22,,Coligo Grid Acceptance platform 2,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:40.531421Z,2025-07-22T10:25:40.940267Z,Ubuntu 20.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc2-blf2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.28.245,706,vw437,,172.18.28.245/22,,Coligo Grid Acceptance platform 2,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:44.760236Z,2025-07-22T10:25:45.166019Z,Ubuntu 20.04 LTS,0,,,Production,,,Voiceworks
coligo-acc2-summatel1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.28.242,703,vw436,,172.18.28.242/22,,Coligo Grid Acceptance platform 2,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:41.492903Z,2025-07-22T10:25:41.909716Z,Ubuntu 20.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc2-summatel2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.28.246,707,vw437,,172.18.28.246/22,,Coligo Grid Acceptance platform 2,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:45.713804Z,2025-07-22T10:25:46.126495Z,Ubuntu 20.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-dev-blf1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.65,222,vw436,,172.18.31.65/22,,GRID BLF,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:51.758550Z,2025-07-22T10:21:52.166960Z,Ubuntu 20.04 LTS,0,,No,Development,,,Voiceworks
coligo-dev-blf2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.119,223,vw437,,172.18.31.119/22,,Grid development.,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:52.701875Z,2025-07-22T10:21:53.095321Z,Ubuntu 20.04 LTS,0,,No,Development,,,Voiceworks
