application_name,average_throughput_gb_per_hr,backup_level_name,backup_set_name,client_groups,client_id,client_name,destination_client_name,elapsed_seconds,end_time,job_id,job_type,localized_operation,localized_status,percent_complete,percent_savings,plan_name,retain_until,size_of_application_bytes,size_on_media_bytes,start_time,status,storage_policy_name,subclient_name,total_num_files
MySQL,134.568,Full,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,848,2025-09-30T20:14:43+00:00,1643586,Backup,Backup,Completed with one or more errors,100.0,71.7987,applications - MySQL databases,2025-10-14T20:00:06+00:00,32711192222,9224992659,2025-09-30T20:00:06+00:00,Completed w/ one or more errors,2 weeks,default,28
MySQL,35.5648,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,27,2025-09-30T19:09:36+00:00,1643570,Backup,Backup,Completed,100.0,68.9444,applications - MySQL databases,2025-10-14T19:08:41+00:00,53038073,16471298,2025-09-30T19:08:41+00:00,Completed,2 weeks,default,5
MySQL,612.017,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,30,2025-09-30T18:09:13+00:00,1643480,Backup,Backup,Completed,100.0,81.1894,applications - MySQL databases,2025-10-14T18:08:18+00:00,1277789240,240359681,2025-09-30T18:08:18+00:00,Completed,2 weeks,default,6
MySQL,47.1301,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,194,2025-09-30T17:11:34+00:00,1643462,Backup,Backup,Completed,100.0,87.4785,applications - MySQL databases,2025-10-14T17:07:55+00:00,2516220370,315067459,2025-09-30T17:07:55+00:00,Completed,2 weeks,default,7
MySQL,65.5964,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,31,2025-09-30T16:08:34+00:00,1643445,Backup,Backup,Completed,100.0,69.7982,applications - MySQL databases,2025-10-14T16:07:32+00:00,97824410,29544766,2025-09-30T16:07:32+00:00,Completed,2 weeks,default,5
MySQL,360.082,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-09-30T15:08:09+00:00,1643426,Backup,Backup,Completed,100.0,82.1783,applications - MySQL databases,2025-10-14T15:07:09+00:00,644391390,114841791,2025-09-30T15:07:09+00:00,Completed,2 weeks,default,5
MySQL,74.4872,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,23,2025-09-30T14:07:30+00:00,1643409,Backup,Backup,Completed,100.0,68.7136,applications - MySQL databases,2025-10-14T14:06:46+00:00,111083420,34754004,2025-09-30T14:06:46+00:00,Completed,2 weeks,default,5
MySQL,59.0161,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,25,2025-09-30T13:07:12+00:00,1643392,Backup,Backup,Completed,100.0,68.8083,applications - MySQL databases,2025-10-14T13:06:24+00:00,105613380,32942587,2025-09-30T13:06:24+00:00,Completed,2 weeks,default,5
MySQL,62.119,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,37,2025-09-30T12:07:03+00:00,1643326,Backup,Backup,Completed,100.0,68.5235,applications - MySQL databases,2025-10-14T12:06:01+00:00,92638505,29159391,2025-09-30T12:06:01+00:00,Completed,2 weeks,default,5
MySQL,59.5081,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-09-30T11:06:37+00:00,1643308,Backup,Backup,Completed,100.0,68.722,applications - MySQL databases,2025-10-14T11:05:38+00:00,88744955,27757604,2025-09-30T11:05:38+00:00,Completed,2 weeks,default,5
